Index_Close,Oil_Close
78.949997,108.72
80.019997,109.1
78.949997,108.83
77.550003,109.36
77.139999,108.16
77.610001,106.55
77.300003,107.04
77.660004,106.81
77.160004,108.15
75.790001,110.12
76.709999,110.18
75.790001,109.21
76.809998,108.62
77.239998,108.98
77,108.63
77.949997,110.14
77.709999,110.37
78.220001,109.42
79.019997,109.03
79.540001,109.76
80.139999,109.19
80.419998,109.39
79.900002,108.54
81.07,108.98
80.709999,111.26
79.839996,109.17
80.029999,108.15
80.580002,107.99
80.150002,109.14
80.949997,108.27
80.550003,108.35
81.400002,107.88
81.419998,107.48
81.050003,108.08
80.269997,106.99
79.980003,106.79
79.209999,105.95
79.5,105.73
79.809998,107.2
80.800003,106.59
80.269997,107.01
80.699997,105.9
80.980003,106.58
80.660004,106.64
81.160004,105.95
80.690002,105.7
81.449997,103.37
82.279999,104.88
82.190002,106.41
82.870003,104.89
83.029999,105.83
83.82,107.39
83.550003,107.1
82.129997,107.34
83.139999,107.68
83.239998,109.1
82.279999,109.71
81.650002,109.79
82.57,109.69
83.660004,108.54
84.480003,108.48
85.510002,109.79
85.860001,109.53
86.019997,109.12
86.540001,109.89
86.870003,108.63
85.989998,108.63
85.510002,109.48
86.739998,109.48
86.879997,108.3
86.449997,108.17
86.660004,108.19
86.82,108.26
86.989998,108.37
87.730003,108.78
86.330002,109.87
86.099998,109.74
86.870003,110.9
87.150002,110.84
87.089996,110.35
86.089996,111.32
85.839996,110.89
86.169998,110.19
85.980003,110.01
86.769997,109.81
86.809998,109.09
86.639999,109.98
87.139999,109.21
87.269997,109.34
88.18,108.87
87.849998,109.07
87.870003,108.43
88.230003,109.21
88.300003,110.55
88.870003,109.18
89.400002,109.83
89.449997,112.18
89.07,113.15
89.410004,113.42
89.970001,114.02
90.839996,114.25
91.410004,115.19
91.43,114.55
92.169998,113.62
92.809998,113.74
93.400002,112.84
93.669998,112.61
91.550003,112.62
92.150002,111.03
92.099998,110.84
92.290001,110.18
92.610001,108.98
92.339996,108.7
92.230003,107.65
92.519997,106.84
91.43,106.2
91.150002,105.77
91.690002,104.73
90.879997,104.73
90.230003,105.41
90.93,106.04
90.580002,106.03
91.889999,105.71
90.239998,106.48
90.599998,106.85
90.489998,105.78
91.190002,106.89
91.669998,106.7
91.739998,106.98
91.129997,106.47
90.650002,104.94
90.809998,103.45
89.970001,103.63
88.160004,102.82
87.510002,104.17
89.029999,104.02
87.440002,103.36
87.370003,103.47
86.800003,101.68
88.349998,102.27
88.449997,101.15
87.57,101.13
87.870003,99.37
87.440002,99.74
88.309998,99.92
88.440002,100.28
89.209999,100.09
89.550003,100.49
89.540001,100.5
88.879997,100.4
89.790001,100.71
90.25,101.12
90.169998,100.21
90.120003,100.88
91.059998,101.21
89.629997,99.51
89.75,99.53
88.330002,98.08
88.82,96.26
87.459999,96.42
86.879997,96.31
86.849998,96.43
86.839996,97.39
85.25,97.7
85.660004,96.82
86.620003,96.75
86.089996,95.37
85.379997,94.87
84.660004,94.53
83.220001,95.2
83.089996,95.08
83.080002,95.7
81.800003,94.67
82.75,94.57
82.660004,91.29
81.449997,90.8
79.699997,90.65
79.209999,90.9
78.589996,90.25
78.57,90.47
77.370003,88.66
77.660004,87.82
74.790001,86.36
73.650002,84.02
70.910004,84.02
70.07,85.27
71.059998,84.42
72.860001,85.17
72.989998,86.38
73.739998,85.94
76.059998,86
74.209999,85.64
75.970001,85.57
75.629997,86.91
73.660004,85.5
75.669998,84.17
75.980003,84.9
75.559998,82.12
77.110001,82.88
75.870003,82.08
74.029999,83.2
75.940002,82.9
76.980003,80.94
78.330002,80.42
77.160004,77.74
77.360001,77.51
76.779999,76.86
75.43,77.23
76.339996,77.21
76.050003,77.61
76.029999,79.2
76.32,79.62
77.660004,77.62
78.660004,77.39
78.019997,71.89
76.790001,70.87
75.379997,71.13
69.739998,70.13
69.519997,68.48
69.769997,68
70.790001,65.64
69.910004,66.11
68.93,63.32
65.599998,63.65
66.900002,61.67
64.459999,61.09
64.300003,60.26
63.360001,59.84
62.93,58.81
63.720001,58.87
66.769997,58.31
67.800003,59.07
69.760002,58.67
68.599998,58.72
69.169998,57.86
68.5,55.6
68.480003,55.27
68.900002,55.38
68.089996,51.08
67.629997,50.12
67.800003,49.06
64.400002,49.43
63.139999,47.64
62.799999,46.9
64.400002,45.13
64.050003,45.82
61.860001,47.66
61.529999,47.38
61.740002,46.49
60.709999,46.5
63.18,46.09
62.860001,46.69
64.650002,46.07
64.790001,46.55
64.480003,47.07
65.489998,46.61
65.769997,47.52
62.849998,51.74
62.77,54.41
64.110001,55.07
66.610001,55.98
68.849998,55.88
67.199997,57
68.5,55.79
68.550003,53.48
69.120003,56.23
68.639999,60.33
68.050003,61.57
68.82,60.78
70.529999,60.72
71.290001,58.78
70.580002,60.99
70.650002,59.78
70.080002,60.33
69.650002,59.77
69.489998,61.39
70.029999,61.89
68.059998,60.75
67.809998,61.18
67.220001,59.18
67.68,60.33
67.57,59.15
67.339996,58.67
65.779999,55.95
64.800003,56.46
63.490002,56.66
64.029999,54.8
63.41,52
62.869999,52.17
63.66,52.59
63.560001,52.96
65.860001,53.88
64.459999,53.82
65.150002,53.61
64.989998,54.18
64.709999,57.02
65.800003,56.44
65.720001,53.99
65.080002,53.69
66.209999,55.73
65.93,55.73
66.209999,55.73
66.839996,57.55
68.540001,56.42
68.699997,56.04
67.900002,56.82
69.339996,57.14
69.410004,57.69
68.639999,59.32
70.25,60.13
72.650002,61.31
72.169998,61.2
71.360001,60.12
71.57,60.12
70.160004,62.66
70.809998,62.96
71.5,62.86
70.800003,62.61
70.760002,63.97
